Server ID;Sponsor;Server Name;Timestamp;Distance;Ping;Download;Upload
10408;WIOCC;United Kingdom;2017-01-21T17:00:31.428487;3.1976547875895194;27.816;26862789.294724606;4790234.328325111
10408;WIOCC;United Kingdom;2017-01-21T18:00:10.586704;3.1976547875895194;380.293;39595252.53710904;3832831.752241013
10408;WIOCC;United Kingdom;2017-01-21T19:00:08.426152;3.1976547875895194;18.827;43256696.70277532;4244791.753182958
10408;WIOCC;United Kingdom;2017-01-21T20:00:08.652402;3.1976547875895194;63.002;56223449.81265502;4959352.930601957
10408;WIOCC;United Kingdom;2017-01-21T20:50:08.450669;3.1976547875895194;19.615;26912485.362233683;5029496.99791014
10408;WIOCC;United Kingdom;2017-01-21T20:55:07.826120;3.1976547875895194;19.848;32189343.22883001;4101596.2050691606
10408;WIOCC;United Kingdom;2017-01-21T21:00:08.710337;3.1976547875895194;24.234;38003562.70510621;4299050.62182364
10408;WIOCC;United Kingdom;2017-01-21T21:05:07.854203;3.1976547875895194;18.513;66997704.60502404;4937397.0692558605
10408;WIOCC;United Kingdom;2017-01-21T21:10:08.013815;3.1976547875895194;19.685;53598308.33466558;4083802.2249290817
10408;WIOCC;United Kingdom;2017-01-21T21:15:08.770008;3.1976547875895194;18.682;50974289.79071952;3669760.0522928983
10408;WIOCC;United Kingdom;2017-01-21T21:20:08.335233;3.1976547875895194;28.765;60591225.11529125;3793496.6175983893
10408;WIOCC;United Kingdom;2017-01-21T21:25:07.595897;3.1976547875895194;17.808;42551299.33046586;5081988.16840849
10408;WIOCC;United Kingdom;2017-01-21T21:30:06.696604;3.1976547875895194;21.912;58466556.81355389;4175134.0204610904
10408;WIOCC;United Kingdom;2017-01-21T21:35:07.621935;3.1976547875895194;19.746;67600939.98590085;4579157.633668961
10408;WIOCC;United Kingdom;2017-01-21T21:40:06.708005;3.1976547875895194;17.195;44406605.435409226;3836934.69763899
10408;WIOCC;United Kingdom;2017-01-21T21:45:07.585452;3.1976547875895194;72.68;34880705.71917151;4908201.04172136
10408;WIOCC;United Kingdom;2017-01-21T21:50:07.047709;3.1976547875895194;18.486;57977440.83228357;4535649.326279526
10408;WIOCC;United Kingdom;2017-01-21T21:55:07.044989;3.1976547875895194;25.735;72480177.1160985;3379437.5942083187
10408;WIOCC;United Kingdom;2017-01-21T22:00:08.194176;3.1976547875895194;21.064;63358965.651013345;3805122.4239825006
10408;WIOCC;United Kingdom;2017-01-21T22:05:06.926742;3.1976547875895194;20.938;57825742.38770532;3692255.017352223
10408;WIOCC;United Kingdom;2017-01-21T22:10:07.959275;3.1976547875895194;18.429;48272682.86756939;3633739.3962775534
10408;WIOCC;United Kingdom;2017-01-21T22:15:08.230382;3.1976547875895194;17.505;70215963.48063666;3750502.355206146
10408;WIOCC;United Kingdom;2017-01-21T22:20:08.146512;3.1976547875895194;264.835;66199393.83172084;3815923.1614647596
10408;WIOCC;United Kingdom;2017-01-21T22:25:07.502934;3.1976547875895194;17.43;68364481.01609275;3801930.5158699714
10408;WIOCC;United Kingdom;2017-01-21T22:30:08.209842;3.1976547875895194;21.834;67301114.9580238;4139219.537444655
10408;WIOCC;United Kingdom;2017-01-21T22:35:08.355366;3.1976547875895194;18.78;66478440.81752579;3851717.2867926997
10408;WIOCC;United Kingdom;2017-01-21T22:40:08.337812;3.1976547875895194;19.6;69380453.69110653;3824350.6650769725
10408;WIOCC;United Kingdom;2017-01-21T22:45:07.918286;3.1976547875895194;18.238;72490547.02655;3762419.7033493374
10408;WIOCC;United Kingdom;2017-01-21T22:50:08.207698;3.1976547875895194;17.144;69319268.4301311;3798162.4014082807
10408;WIOCC;United Kingdom;2017-01-21T22:55:08.007748;3.1976547875895194;17.266;67796970.49060102;3777603.162551955
10408;WIOCC;United Kingdom;2017-01-21T23:00:10.024613;3.1976547875895194;355.1;46721278.60706845;5017072.821970614
10408;WIOCC;United Kingdom;2017-01-21T23:05:08.777776;3.1976547875895194;20.091;65590686.682406224;5478691.667780124
10408;WIOCC;United Kingdom;2017-01-21T23:10:08.166146;3.1976547875895194;17.215;45916870.03937414;3834175.096691555
10408;WIOCC;United Kingdom;2017-01-21T23:15:07.815826;3.1976547875895194;18.934;71484811.22833589;5566953.275841312
10408;WIOCC;United Kingdom;2017-01-21T23:20:07.838127;3.1976547875895194;32.257;69421904.84074308;4634022.713076808
10408;WIOCC;United Kingdom;2017-01-21T23:25:08.414953;3.1976547875895194;19.495;66183123.68954963;5583156.452670369
10408;WIOCC;United Kingdom;2017-01-21T23:30:08.890269;3.1976547875895194;20.426;68990345.63758178;3840154.9449496297
10408;WIOCC;United Kingdom;2017-01-21T23:35:09.049867;3.1976547875895194;23.591;71053801.16559732;3863648.758698225
10408;WIOCC;United Kingdom;2017-01-21T23:40:08.174125;3.1976547875895194;20.49;58349646.085483395;3530302.3804163346
10408;WIOCC;United Kingdom;2017-01-21T23:45:07.919672;3.1976547875895194;113.41;68719202.83647844;4148443.161215969
10408;WIOCC;United Kingdom;2017-01-21T23:50:07.643335;3.1976547875895194;19.066;66403650.43112199;3785461.093363945
10408;WIOCC;United Kingdom;2017-01-21T23:55:08.435182;3.1976547875895194;19.613;70056857.86109221;4050271.716528649
10408;WIOCC;United Kingdom;2017-01-22T00:00:09.166213;3.1976547875895194;244.173;43446047.25574905;4531661.839495318
10408;WIOCC;United Kingdom;2017-01-22T00:05:07.689006;3.1976547875895194;17.992;67334318.62636362;3793721.5623499467
10408;WIOCC;United Kingdom;2017-01-22T00:10:07.248493;3.1976547875895194;18.665;54809716.214161456;3797308.812055612
